Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,59.10,59.10,55.01,56.21,48600,55.56
2012-12-28,59.41,59.55,58.02,58.02,60800,57.35
2012-12-27,58.75,59.98,58.75,59.25,52700,58.57
2012-12-26,59.04,59.04,59.04,59.04,000,58.36
2012-12-25,59.04,59.04,59.04,59.04,000,58.36
2012-12-24,59.71,59.71,58.70,59.04,59300,58.36
2012-12-21,58.85,59.99,58.85,59.74,236800,59.05
2012-12-20,58.00,59.71,58.00,59.18,142600,58.50
2012-12-19,58.96,59.43,58.60,58.99,114100,58.31
2012-12-18,58.03,58.93,57.11,58.69,144500,58.02
2012-12-17,58.00,58.25,57.22,58.20,47700,57.53
2012-12-14,58.00,58.01,56.43,57.76,118200,57.10
2012-12-13,55.34,57.89,55.30,57.89,88000,57.23
2012-12-12,55.80,56.30,54.71,55.78,124100,55.14
2012-12-11,56.20,56.72,54.95,56.29,156100,55.64
2012-12-10,54.55,56.36,53.76,56.21,154700,55.56
2012-12-07,54.14,56.06,53.74,56.06,137600,55.42
2012-12-06,52.65,54.95,52.54,53.78,175100,53.16
2012-12-05,51.88,52.49,51.32,52.49,150100,51.89
2012-12-04,50.16,51.61,50.16,50.92,82200,50.34
2012-12-03,50.20,50.58,49.20,50.24,113000,49.66
2012-11-30,48.38,50.34,48.38,49.85,318800,49.28
2012-11-29,48.12,48.80,48.12,48.80,65600,48.24
2012-11-28,48.00,48.45,47.00,48.00,96700,47.45
2012-11-27,48.27,48.99,48.11,48.42,94700,47.87
2012-11-26,47.90,48.52,47.53,48.07,57500,47.52
2012-11-23,48.10,48.54,47.90,48.19,48300,47.63
2012-11-22,48.00,48.82,48.00,48.08,44500,47.53
2012-11-21,48.42,48.90,47.31,48.06,109100,47.51
2012-11-20,48.05,48.70,47.71,48.35,69000,47.79
2012-11-19,47.69,48.70,47.38,48.24,93900,47.68
2012-11-16,47.40,47.49,46.20,47.40,131000,46.86
2012-11-15,44.90,48.00,44.90,47.53,200700,46.99
2012-11-14,46.10,46.50,44.90,44.90,116000,44.39
2012-11-13,45.00,45.90,45.00,45.56,75500,45.04
2012-11-12,46.32,46.32,45.02,45.33,70600,44.80
2012-11-09,46.61,47.50,45.54,46.00,67200,45.47
2012-11-08,46.20,47.20,45.15,46.08,108400,45.55
2012-11-07,47.83,48.13,46.10,46.16,131300,45.63
2012-11-06,46.90,47.50,46.74,47.42,59900,46.87
2012-11-05,46.70,47.01,46.40,46.88,79900,46.34
2012-11-02,47.70,47.84,46.60,47.26,90700,46.72
2012-11-01,46.66,47.70,46.10,47.58,75900,47.04
2012-10-31,48.03,49.00,46.60,47.34,99100,46.80
2012-10-30,47.90,48.58,47.30,48.39,48500,47.83
2012-10-29,46.88,47.99,46.73,47.53,65600,46.98
2012-10-26,46.12,47.40,45.90,46.88,61500,46.34
2012-10-25,46.23,47.35,46.23,46.83,27300,46.30
2012-10-24,45.90,46.85,45.90,46.42,54500,45.89
2012-10-23,46.70,47.80,45.57,45.92,80500,45.39
2012-10-22,48.71,48.74,46.90,47.21,131500,46.67
2012-10-19,46.94,49.00,46.25,49.00,180500,48.44
