Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,9.40,9.45,9.28,9.37,167100,9.37
2012-12-28,9.60,9.71,9.28,9.32,482300,9.32
2012-12-27,9.84,9.95,9.59,9.62,573100,9.62
2012-12-26,9.83,9.83,9.83,9.83,000,9.83
2012-12-25,9.83,9.83,9.83,9.83,000,9.83
2012-12-24,9.90,10.09,9.83,9.83,320800,9.83
2012-12-21,10.44,10.46,9.96,10.15,1005000,10.15
2012-12-20,10.41,10.73,10.33,10.63,454800,10.63
2012-12-19,10.34,11.00,10.33,10.49,725600,10.49
2012-12-18,10.30,10.59,10.19,10.54,358100,10.54
2012-12-17,9.77,10.25,9.54,10.22,500700,10.22
2012-12-14,9.50,9.58,9.47,9.49,150700,9.49
2012-12-13,9.60,9.68,9.34,9.46,259200,9.46
2012-12-12,9.45,9.62,9.45,9.55,204200,9.55
2012-12-11,9.10,9.50,9.07,9.44,264700,9.44
2012-12-10,9.07,9.14,8.94,9.10,101600,9.10
2012-12-07,9.10,9.18,9.07,9.16,140700,9.16
2012-12-06,9.22,9.29,9.05,9.12,139200,9.12
2012-12-05,9.02,9.24,9.02,9.19,147000,9.19
2012-12-04,9.05,9.12,9.01,9.03,114900,9.03
2012-12-03,9.07,9.34,9.04,9.08,182100,9.08
2012-11-30,9.14,9.24,9.06,9.14,144300,9.14
2012-11-29,8.95,9.17,8.90,9.17,217900,9.17
2012-11-28,8.92,8.95,8.79,8.84,81300,8.84
2012-11-27,9.07,9.08,8.93,8.98,100800,8.98
2012-11-26,9.20,9.25,8.95,8.97,144800,8.97
2012-11-23,9.08,9.24,9.02,9.15,152100,9.15
2012-11-22,8.93,9.08,8.93,9.00,148900,9.00
2012-11-21,8.74,9.06,8.70,8.92,302100,8.92
2012-11-20,8.73,8.80,8.65,8.75,183000,8.75
2012-11-19,8.65,8.90,8.53,8.83,253100,8.83
2012-11-16,8.81,8.94,8.52,8.52,294200,8.52
2012-11-15,8.95,9.13,8.80,8.84,256800,8.84
2012-11-14,9.50,9.50,8.96,8.98,418300,8.98
2012-11-13,9.54,9.58,9.20,9.41,213500,9.41
2012-11-12,9.72,9.89,9.54,9.54,93200,9.54
2012-11-09,9.71,9.85,9.60,9.75,169300,9.75
2012-11-08,9.90,10.05,9.70,9.73,168900,9.73
2012-11-07,10.23,10.35,9.88,9.88,202300,9.88
