Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,15.41,15.56,15.01,15.34,2685800,15.34
2012-12-28,16.00,16.02,15.38,15.48,10016300,15.48
2012-12-27,16.00,16.27,15.97,16.00,6735100,16.00
2012-12-26,16.45,16.45,16.45,16.45,000,16.08
2012-12-25,16.45,16.45,16.45,16.45,000,16.08
2012-12-24,16.36,16.56,16.31,16.45,22168500,16.08
2012-12-21,16.33,16.52,16.28,16.48,20702000,16.10
2012-12-20,16.48,16.65,16.34,16.40,15571100,16.03
2012-12-19,16.28,16.58,16.26,16.50,12402400,16.13
2012-12-18,16.20,16.25,16.05,16.20,72486100,15.83
2012-12-17,15.99,16.16,15.94,16.08,26373700,15.72
2012-12-14,16.09,16.16,15.99,16.00,29748400,15.64
2012-12-13,16.08,16.14,15.98,16.06,8866000,15.69
2012-12-12,16.01,16.23,15.95,15.99,31030000,15.63
2012-12-11,15.76,16.10,15.73,15.98,12487800,15.61
2012-12-10,15.80,15.80,15.46,15.72,16577500,15.36
2012-12-07,16.25,16.33,15.82,15.85,11033000,15.49
2012-12-06,16.30,16.43,16.10,16.18,9056900,15.81
2012-12-05,16.48,16.48,16.17,16.28,10931100,15.92
2012-12-04,16.19,16.45,16.17,16.33,10597400,15.96
2012-12-03,16.45,16.55,16.16,16.29,14766300,15.92
2012-11-30,16.50,16.59,16.28,16.31,11708500,15.94
2012-11-29,16.50,16.73,16.47,16.58,8299200,16.20
2012-11-28,16.35,16.39,15.94,16.38,9340700,16.01
2012-11-27,16.69,16.78,16.28,16.40,5473800,16.03
2012-11-26,16.65,16.70,16.43,16.60,3005200,16.23
2012-11-23,16.69,16.75,16.42,16.73,4812100,16.35
2012-11-22,16.45,16.80,16.35,16.56,10421100,16.18
2012-11-21,16.24,16.40,16.03,16.33,5301700,15.96
2012-11-20,15.91,16.24,15.90,16.16,3719600,15.79
2012-11-19,15.77,16.15,15.71,16.08,5556600,15.71
2012-11-16,15.74,15.84,15.47,15.65,5445900,15.29
2012-11-15,15.07,15.95,15.01,15.76,9201400,15.40
2012-11-14,15.30,15.41,15.09,15.23,4208200,14.88
2012-11-13,15.01,15.33,14.89,15.26,4474000,14.91
2012-11-12,15.20,15.24,15.01,15.07,2146400,14.73
2012-11-09,15.07,15.35,14.92,15.20,3749500,14.85
2012-11-08,15.27,15.49,15.01,15.11,6805500,14.77
2012-11-07,15.66,15.66,14.98,15.02,5139500,14.67
2012-11-06,15.40,15.58,15.32,15.48,2833300,15.12
2012-11-05,15.53,15.56,15.25,15.43,3283700,15.07
2012-11-02,15.61,15.97,15.32,15.70,5548800,15.35
2012-11-01,15.27,15.64,15.06,15.53,3010400,15.18
2012-10-31,15.60,15.77,15.28,15.42,7552100,15.07
2012-10-30,15.11,15.61,15.11,15.56,3306300,15.21
2012-10-29,15.09,15.34,15.02,15.11,4154100,14.77
2012-10-26,14.90,15.15,14.80,15.06,6251900,14.71
2012-10-25,15.24,15.27,14.98,15.01,2729200,14.67
2012-10-24,15.35,15.40,14.93,15.19,4645100,14.84
2012-10-23,15.35,15.55,14.91,15.24,5544000,14.90
2012-10-22,15.48,15.77,15.41,15.59,4530300,15.23
2012-10-19,15.94,16.03,15.41,15.59,5472300,15.24
2012-10-18,16.05,16.08,15.81,15.99,13939000,15.63
2012-10-17,15.59,16.05,15.54,15.96,17163100,15.60
2012-10-16,14.99,15.60,14.92,15.48,5606800,15.12
2012-10-15,14.74,14.89,14.58,14.82,5992200,14.48
2012-10-12,14.85,15.00,14.73,14.73,3491300,14.39
2012-10-11,14.50,14.87,14.43,14.81,3731900,14.47
2012-10-10,14.51,14.82,14.50,14.61,8487600,14.28
2012-10-09,14.93,15.08,14.60,14.60,4157900,14.27
2012-10-08,15.05,15.14,14.85,14.93,2820900,14.59
2012-10-05,14.93,15.24,14.83,15.15,3991000,14.81
2012-10-04,15.06,15.10,14.68,14.80,3151500,14.46
2012-10-03,15.01,15.20,14.85,14.92,7483900,14.58
2012-10-02,14.81,15.16,14.72,15.06,10729800,14.71
2012-10-01,15.02,15.29,14.86,14.97,5816100,14.63
2012-09-28,15.77,15.78,15.08,15.09,4442700,14.75
2012-09-27,15.63,15.68,15.20,15.62,3262600,15.27
2012-09-26,16.01,16.04,15.42,15.48,4879400,15.13
2012-09-25,16.24,16.48,16.09,16.21,34271000,15.84
2012-09-24,16.25,16.29,15.98,16.15,16307000,15.78
2012-09-21,15.95,16.30,15.75,16.30,12735900,15.93
2012-09-20,16.30,16.34,15.72,15.82,7850600,15.47
2012-09-19,16.34,16.58,16.18,16.42,5334200,16.04
2012-09-18,16.27,16.50,16.10,16.36,7882400,15.99
2012-09-17,16.28,16.61,16.20,16.56,6648000,16.18
2012-09-14,16.08,16.60,15.99,16.32,9969700,15.95
2012-09-13,15.69,15.82,15.56,15.70,4406000,15.34
2012-09-12,15.65,15.95,15.50,15.76,7689900,15.40
2012-09-11,15.50,15.58,15.30,15.50,6583600,15.15
2012-09-10,15.65,15.69,15.41,15.58,9424900,15.23
2012-09-07,15.90,16.15,15.44,15.69,12609100,15.34
2012-09-06,14.81,15.88,14.81,15.81,8609500,15.46
2012-09-05,14.65,15.00,14.47,14.74,6194700,14.41
2012-09-04,14.82,14.93,14.65,14.71,3600600,14.38
2012-09-03,14.61,14.91,14.41,14.70,4612300,14.37
2012-08-31,14.29,14.78,14.15,14.64,5663500,14.30
2012-08-30,14.31,14.39,14.04,14.32,3776300,13.99
2012-08-29,14.66,14.66,14.31,14.40,6706300,14.07
2012-08-28,14.58,14.76,14.35,14.52,3442500,14.19
2012-08-27,14.40,14.71,14.15,14.60,5495500,14.27
2012-08-24,14.21,14.43,13.80,14.26,3894100,13.94
2012-08-23,14.60,14.70,14.07,14.22,5363000,13.89
2012-08-22,15.03,15.07,14.45,14.45,6566500,14.12
2012-08-21,15.46,15.48,14.70,15.25,7672500,14.90
2012-08-20,16.09,16.15,15.07,15.35,19785800,15.01
2012-08-17,16.00,16.18,15.65,16.06,8141800,15.70
2012-08-16,15.27,15.99,15.10,15.93,7482100,15.57
2012-08-15,15.25,15.32,14.90,15.32,7707000,14.97
2012-08-14,14.74,15.24,14.74,15.24,11735700,14.89
2012-08-13,14.30,14.74,14.30,14.70,4859200,14.37
2012-08-10,14.34,14.51,14.06,14.38,2841500,14.05
2012-08-09,14.68,14.82,14.18,14.41,5910700,14.09
2012-08-08,14.87,15.15,14.30,14.56,9285400,14.23
2012-08-07,14.50,15.20,14.35,14.98,14526400,14.64
2012-08-06,13.37,14.59,13.32,14.56,9112900,14.23
2012-08-03,12.23,13.32,12.09,13.32,9775700,13.02
2012-08-02,13.02,13.47,12.19,12.19,10486400,11.91
2012-08-01,12.99,13.16,12.35,13.06,7690100,12.76
2012-07-31,13.55,13.65,12.88,13.01,11308200,12.71
2012-07-30,13.22,13.51,12.93,13.51,16820200,13.20
2012-07-27,11.95,13.17,11.77,13.17,13193200,12.87
2012-07-26,11.02,11.93,10.97,11.82,11720800,11.55
2012-07-25,11.01,11.29,10.90,10.95,8084300,10.71
2012-07-24,11.86,11.94,10.91,10.96,12278000,10.71
2012-07-23,12.06,12.10,11.34,11.81,12672300,11.54
2012-07-20,12.73,13.12,12.23,12.25,19354300,11.97
2012-07-19,12.69,12.84,12.53,12.63,6281600,12.34
