Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1.65,1.66,1.61,1.65,2291300,1.65
2012-12-28,1.74,1.76,1.65,1.66,4119000,1.66
2012-12-27,1.73,1.77,1.69,1.73,4892200,1.73
2012-12-26,1.71,1.71,1.71,1.71,000,1.71
2012-12-25,1.71,1.71,1.71,1.71,000,1.71
2012-12-24,1.68,1.73,1.67,1.71,1738100,1.71
2012-12-21,1.66,1.70,1.62,1.67,4040600,1.67
2012-12-20,1.64,1.73,1.59,1.67,5538200,1.67
2012-12-19,1.71,1.80,1.58,1.65,11833000,1.65
2012-12-18,1.59,1.70,1.58,1.69,6218000,1.69
2012-12-17,1.52,1.60,1.52,1.57,5011200,1.57
2012-12-14,1.50,1.54,1.47,1.52,4236500,1.52
2012-12-13,1.41,1.49,1.40,1.48,4229100,1.48
2012-12-12,1.39,1.41,1.39,1.40,1266700,1.40
2012-12-11,1.40,1.42,1.38,1.40,1889100,1.40
2012-12-10,1.38,1.41,1.33,1.40,1887000,1.40
2012-12-07,1.40,1.40,1.36,1.37,1113100,1.37
2012-12-06,1.41,1.42,1.38,1.40,928100,1.40
2012-12-05,1.41,1.42,1.38,1.40,1438900,1.40
2012-12-04,1.39,1.41,1.38,1.40,1091000,1.40
2012-12-03,1.37,1.41,1.37,1.37,1580900,1.37
2012-11-30,1.41,1.43,1.37,1.37,2230800,1.37
2012-11-29,1.36,1.40,1.36,1.40,2549800,1.40
2012-11-28,1.36,1.37,1.32,1.34,1581100,1.34
2012-11-27,1.38,1.41,1.36,1.37,1440800,1.37
2012-11-26,1.43,1.43,1.35,1.37,2408900,1.37
2012-11-23,1.43,1.44,1.40,1.43,2533400,1.43
2012-11-22,1.41,1.45,1.40,1.42,2015300,1.42
2012-11-21,1.41,1.47,1.39,1.40,3687000,1.40
2012-11-20,1.29,1.43,1.28,1.42,5280500,1.42
2012-11-19,1.27,1.29,1.25,1.28,2943400,1.28
2012-11-16,1.31,1.33,1.26,1.27,2142900,1.27
2012-11-15,1.24,1.32,1.22,1.30,6293100,1.30
2012-11-14,1.37,1.37,1.27,1.27,3993500,1.27
2012-11-13,1.38,1.39,1.32,1.35,4513600,1.35
2012-11-12,1.44,1.44,1.39,1.39,1723200,1.39
2012-11-09,1.42,1.42,1.38,1.42,2506600,1.42
2012-11-08,1.46,1.47,1.40,1.42,3612900,1.42
2012-11-07,1.54,1.54,1.43,1.44,3909000,1.44
2012-11-06,1.52,1.53,1.50,1.52,1507700,1.52
2012-11-05,1.53,1.55,1.49,1.50,3118200,1.50
2012-11-02,1.54,1.58,1.53,1.55,3782900,1.55
2012-11-01,1.52,1.55,1.51,1.52,2203400,1.52
2012-10-31,1.49,1.56,1.49,1.53,4512900,1.53
2012-10-30,1.45,1.49,1.43,1.48,1885900,1.48
2012-10-29,1.46,1.46,1.41,1.44,1780300,1.44
2012-10-26,1.46,1.49,1.43,1.44,3052500,1.44
2012-10-25,1.41,1.51,1.40,1.49,3349400,1.49
2012-10-24,1.44,1.44,1.37,1.41,2708200,1.41
2012-10-23,1.46,1.46,1.40,1.42,2239900,1.42
2012-10-22,1.49,1.50,1.38,1.44,3134400,1.44
2012-10-19,1.54,1.55,1.48,1.49,3755900,1.49
2012-10-18,1.59,1.60,1.51,1.56,6129200,1.56
2012-10-17,1.43,1.56,1.42,1.54,7278400,1.54
2012-10-16,1.38,1.41,1.36,1.41,3929700,1.41
2012-10-15,1.43,1.43,1.35,1.37,3116100,1.37
2012-10-12,1.44,1.48,1.41,1.43,1938000,1.43
2012-10-11,1.40,1.46,1.35,1.45,4137800,1.45
2012-10-10,1.48,1.52,1.43,1.43,2784600,1.43
2012-10-09,1.59,1.61,1.48,1.49,4013100,1.49
2012-10-08,1.66,1.66,1.56,1.59,3992700,1.59
2012-10-05,1.70,1.70,1.66,1.66,1925100,1.66
2012-10-04,1.71,1.71,1.66,1.68,2343500,1.68
2012-10-03,1.70,1.71,1.66,1.68,3041500,1.68
2012-10-02,1.70,1.72,1.65,1.67,2917500,1.67
2012-10-01,1.70,1.74,1.68,1.73,3315300,1.73
2012-09-28,1.79,1.81,1.65,1.67,4061400,1.67
2012-09-27,1.71,1.76,1.61,1.74,4454300,1.74
2012-09-26,1.83,1.84,1.68,1.69,6197800,1.69
2012-09-25,1.88,1.91,1.84,1.86,3144600,1.86
2012-09-24,1.95,1.96,1.88,1.88,2617900,1.88
2012-09-21,1.93,1.95,1.90,1.94,4094700,1.94
2012-09-20,1.95,1.98,1.87,1.87,3572700,1.87
2012-09-19,1.94,1.99,1.90,1.95,3395300,1.95
2012-09-18,1.92,2.00,1.86,1.93,4587200,1.93
2012-09-17,1.85,1.99,1.78,1.91,6563500,1.91
2012-09-14,1.82,1.88,1.75,1.85,6730000,1.85
2012-09-13,1.76,1.82,1.63,1.72,6507800,1.72
2012-09-12,1.63,1.75,1.62,1.74,7151700,1.74
2012-09-11,1.59,1.62,1.53,1.61,3300100,1.61
2012-09-10,1.52,1.59,1.51,1.58,5535800,1.58
2012-09-07,1.50,1.53,1.47,1.50,3897200,1.50
2012-09-06,1.50,1.52,1.38,1.49,5767000,1.49
2012-09-05,1.38,1.49,1.37,1.47,5751200,1.47
2012-09-04,1.35,1.38,1.34,1.37,1707300,1.37
2012-09-03,1.36,1.37,1.32,1.34,937700,1.34
2012-08-31,1.33,1.36,1.32,1.36,1263500,1.36
2012-08-30,1.35,1.37,1.31,1.33,1519200,1.33
2012-08-29,1.37,1.38,1.35,1.36,1317600,1.36
2012-08-28,1.39,1.39,1.36,1.36,1335900,1.36
2012-08-27,1.35,1.39,1.34,1.39,1216200,1.39
2012-08-24,1.37,1.37,1.33,1.34,874400,1.34
2012-08-23,1.39,1.39,1.31,1.36,1547000,1.36
2012-08-22,1.38,1.41,1.35,1.35,2327800,1.35
2012-08-21,1.35,1.40,1.35,1.40,2839500,1.40
2012-08-20,1.37,1.42,1.31,1.35,3987200,1.35
2012-08-17,1.43,1.46,1.34,1.35,7166600,1.35
2012-08-16,1.34,1.41,1.32,1.40,4141700,1.40
2012-08-15,1.29,1.33,1.26,1.32,877900,1.32
2012-08-14,1.26,1.29,1.25,1.29,1848500,1.29
2012-08-13,1.25,1.27,1.23,1.23,1428700,1.23
2012-08-10,1.26,1.28,1.24,1.26,2040200,1.26
2012-08-09,1.33,1.33,1.25,1.29,2758600,1.29
2012-08-08,1.34,1.36,1.24,1.30,3653100,1.30
2012-08-07,1.34,1.37,1.30,1.33,4687500,1.33
2012-08-06,1.24,1.32,1.23,1.30,3200400,1.30
2012-08-03,1.13,1.21,1.11,1.21,2520000,1.21
2012-08-02,1.25,1.27,1.11,1.13,4061300,1.13
2012-08-01,1.24,1.30,1.19,1.24,5057000,1.24
2012-07-31,1.26,1.36,1.23,1.30,4467100,1.30
2012-07-30,1.18,1.25,1.16,1.25,3283700,1.25
2012-07-27,1.20,1.23,1.11,1.17,4443800,1.17
2012-07-26,1.03,1.18,1.03,1.16,3225400,1.16
2012-07-25,1.03,1.08,1.02,1.03,1717800,1.03
2012-07-24,1.12,1.12,1.04,1.04,2268300,1.04
2012-07-23,1.08,1.09,1.02,1.09,5166300,1.09
2012-07-20,1.23,1.24,1.11,1.12,4736700,1.12
2012-07-19,1.24,1.26,1.20,1.22,2559700,1.22
2012-07-18,1.24,1.24,1.18,1.21,3218100,1.21
2012-07-17,1.30,1.31,1.23,1.23,2105600,1.23
2012-07-16,1.27,1.33,1.26,1.29,1865700,1.29
2012-07-13,1.29,1.30,1.25,1.29,2489600,1.29
2012-07-12,1.35,1.36,1.28,1.29,2547500,1.29
2012-07-11,1.36,1.39,1.34,1.34,3031200,1.34
2012-07-10,1.37,1.40,1.34,1.36,2973500,1.36
2012-07-09,1.36,1.38,1.30,1.34,3780400,1.34
2012-07-06,1.49,1.50,1.37,1.37,4098300,1.37
2012-07-05,1.62,1.64,1.50,1.51,4262900,1.51
2012-07-04,1.59,1.64,1.56,1.63,3386800,1.63
2012-07-03,1.51,1.57,1.50,1.57,2979600,1.57
2012-07-02,1.46,1.53,1.44,1.50,3370900,1.50
2012-06-29,1.42,1.47,1.40,1.45,3797500,1.45
2012-06-28,1.38,1.39,1.32,1.38,2230900,1.38
2012-06-27,1.30,1.37,1.30,1.37,1741500,1.37
2012-06-26,1.34,1.37,1.29,1.29,2463200,1.29
2012-06-25,1.44,1.47,1.34,1.35,2174500,1.35
2012-06-22,1.40,1.48,1.40,1.45,2423600,1.45
2012-06-21,1.42,1.48,1.39,1.43,2735400,1.43
2012-06-20,1.45,1.45,1.36,1.42,2812300,1.42
2012-06-19,1.42,1.46,1.40,1.43,1955900,1.43
2012-06-18,1.51,1.53,1.41,1.41,2764900,1.41
2012-06-15,1.42,1.47,1.39,1.44,2335700,1.44
2012-06-14,1.35,1.40,1.32,1.40,1939000,1.40
2012-06-13,1.40,1.41,1.36,1.37,2707600,1.37
2012-06-12,1.43,1.48,1.38,1.41,2774000,1.41
2012-06-11,1.52,1.59,1.42,1.43,3641300,1.43
2012-06-08,1.44,1.47,1.35,1.44,4055500,1.44
2012-06-07,1.53,1.56,1.41,1.42,4316100,1.42
2012-06-06,1.49,1.61,1.42,1.49,5794900,1.49
2012-06-05,1.42,1.50,1.40,1.49,4055000,1.49
2012-06-04,1.26,1.41,1.21,1.39,4166500,1.39
2012-06-01,1.23,1.34,1.20,1.29,3910200,1.29
2012-05-31,1.41,1.44,1.24,1.26,5640000,1.26
2012-05-30,1.54,1.54,1.38,1.40,5816900,1.40
2012-05-29,1.64,1.71,1.50,1.57,5698600,1.57
2012-05-28,1.83,1.85,1.61,1.63,8150500,1.63
2012-05-25,1.69,1.82,1.65,1.76,5616000,1.76
2012-05-24,1.57,1.74,1.52,1.67,6278300,1.67
