Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,5.37,5.37,5.09,5.09,417600,5.09
2012-12-28,5.35,5.43,5.30,5.31,440000,5.31
2012-12-27,5.43,5.52,5.30,5.33,1050700,5.33
2012-12-26,5.45,5.45,5.45,5.45,000,5.45
2012-12-25,5.45,5.45,5.45,5.45,000,5.45
2012-12-24,5.45,5.50,5.44,5.45,330600,5.45
2012-12-21,5.43,5.52,5.35,5.48,1721300,5.48
2012-12-20,5.51,5.60,5.43,5.43,3163600,5.43
2012-12-19,5.65,5.75,5.47,5.69,3325800,5.69
2012-12-18,5.54,5.54,5.41,5.54,1895100,5.54
2012-12-17,5.40,5.55,5.35,5.49,2387200,5.49
2012-12-14,5.20,5.45,5.20,5.39,2783800,5.39
2012-12-13,5.15,5.20,5.05,5.20,1698900,5.20
2012-12-12,4.98,5.13,4.92,5.13,1629500,5.13
2012-12-11,4.99,4.99,4.87,4.93,997700,4.93
2012-12-10,5.00,5.00,4.77,4.91,501800,4.91
2012-12-07,5.00,5.03,4.82,4.97,2110600,4.97
2012-12-06,4.99,5.02,4.92,5.00,1853200,5.00
2012-12-05,4.81,4.98,4.81,4.97,2283500,4.97
2012-12-04,4.75,4.86,4.71,4.79,1712300,4.79
2012-12-03,4.57,4.84,4.57,4.83,2220400,4.83
2012-11-30,4.50,4.56,4.45,4.53,1922500,4.53
2012-11-29,4.32,4.51,4.29,4.50,2103700,4.50
2012-11-28,4.32,4.34,4.25,4.26,249200,4.26
2012-11-27,4.28,4.35,4.25,4.34,360000,4.34
2012-11-26,4.30,4.33,4.23,4.24,296800,4.24
2012-11-23,4.44,4.44,4.35,4.37,322000,4.37
2012-11-22,4.41,4.48,4.41,4.44,1100300,4.44
2012-11-21,4.45,4.48,4.36,4.45,495600,4.45
2012-11-20,4.32,4.45,4.32,4.45,587300,4.45
2012-11-19,4.21,4.48,4.21,4.41,1145300,4.41
2012-11-16,4.13,4.21,4.13,4.20,583100,4.20
2012-11-15,4.17,4.23,4.13,4.15,444600,4.15
2012-11-14,4.20,4.22,4.12,4.22,421800,4.22
2012-11-13,4.17,4.21,4.10,4.17,144800,4.17
2012-11-12,4.20,4.22,4.10,4.22,201900,4.22
2012-11-09,4.29,4.31,4.14,4.18,417600,4.18
2012-11-08,4.22,4.37,4.18,4.37,392400,4.37
2012-11-07,4.20,4.26,4.20,4.22,944000,4.22
2012-11-06,4.22,4.25,4.18,4.18,821100,4.18
2012-11-05,4.20,4.25,4.18,4.24,1112200,4.24
2012-11-02,4.25,4.25,4.16,4.25,608300,4.25
2012-11-01,4.15,4.25,4.13,4.22,291600,4.22
2012-10-31,4.23,4.25,4.14,4.14,357800,4.14
2012-10-30,4.25,4.26,4.22,4.23,355600,4.23
2012-10-29,4.17,4.25,4.14,4.24,397200,4.24
2012-10-26,4.11,4.22,4.07,4.16,214600,4.16
2012-10-25,4.12,4.23,4.10,4.15,287700,4.15
2012-10-24,4.06,4.20,4.06,4.18,754900,4.18
2012-10-23,4.15,4.19,4.05,4.11,359600,4.11
2012-10-22,4.08,4.15,4.05,4.14,1034600,4.14
2012-10-19,4.26,4.26,4.06,4.09,801300,4.09
2012-10-18,4.50,4.50,4.21,4.28,1456600,4.28
2012-10-17,4.17,4.44,4.13,4.44,798600,4.44
2012-10-16,4.00,4.16,3.97,4.16,600400,4.16
2012-10-15,3.90,3.96,3.90,3.95,536000,3.95
2012-10-12,3.98,4.00,3.90,3.90,1087600,3.90
2012-10-11,4.00,4.04,3.84,4.00,968600,4.00
2012-10-10,4.10,4.18,4.00,4.00,760900,4.00
2012-10-09,4.18,4.26,4.09,4.11,1350300,4.11
2012-10-08,4.30,4.30,4.16,4.18,281500,4.18
2012-10-05,4.32,4.36,4.28,4.30,546100,4.30
2012-10-04,4.50,4.51,4.26,4.30,441100,4.30
2012-10-03,4.37,4.50,4.35,4.48,330800,4.48
2012-10-02,4.30,4.43,4.28,4.41,355000,4.41
2012-10-01,4.26,4.37,4.22,4.32,522100,4.32
2012-09-28,4.25,4.30,4.12,4.22,454200,4.22
2012-09-27,4.34,4.35,4.12,4.19,527200,4.19
2012-09-26,4.51,4.54,4.26,4.26,840100,4.26
2012-09-25,4.57,4.61,4.53,4.58,437600,4.58
2012-09-24,4.60,4.63,4.53,4.58,388200,4.58
2012-09-21,4.45,4.66,4.44,4.65,1214900,4.65
2012-09-20,4.41,4.50,4.40,4.47,692300,4.47
2012-09-19,4.49,4.51,4.40,4.45,1113300,4.45
2012-09-18,4.48,4.52,4.45,4.48,1412900,4.48
2012-09-17,4.60,4.60,4.48,4.50,1474400,4.50
2012-09-14,4.70,4.74,4.58,4.58,4553100,4.58
2012-09-13,4.46,4.65,4.46,4.61,3906300,4.61
2012-09-12,4.50,4.51,4.42,4.48,1522600,4.48
2012-09-11,4.48,4.51,4.39,4.48,1397900,4.48
2012-09-10,4.52,4.52,4.31,4.48,3659900,4.48
2012-09-07,4.47,4.57,4.39,4.49,1710400,4.49
2012-09-06,4.31,4.46,4.31,4.46,2374500,4.46
2012-09-05,4.35,4.36,4.25,4.29,344400,4.29
2012-09-04,4.35,4.39,4.30,4.35,686500,4.35
2012-09-03,4.35,4.39,4.33,4.35,294700,4.35
2012-08-31,4.23,4.37,4.21,4.37,494100,4.37
2012-08-30,4.24,4.27,4.21,4.24,327800,4.24
2012-08-29,4.37,4.37,4.21,4.24,333900,4.24
2012-08-28,4.36,4.36,4.25,4.32,810400,4.32
2012-08-27,4.31,4.36,4.25,4.35,287100,4.35
2012-08-24,4.20,4.32,4.18,4.31,429400,4.31
2012-08-23,4.16,4.25,4.09,4.21,600600,4.21
2012-08-22,4.25,4.25,4.11,4.11,313800,4.11
2012-08-21,4.27,4.35,4.21,4.26,244900,4.26
2012-08-20,4.27,4.29,4.18,4.28,495700,4.28
2012-08-17,4.32,4.41,4.24,4.27,1605300,4.27
2012-08-16,4.22,4.31,4.22,4.30,1141600,4.30
2012-08-15,4.22,4.24,4.19,4.21,192900,4.21
2012-08-14,4.19,4.27,4.16,4.21,542700,4.21
2012-08-13,4.14,4.19,4.14,4.18,1603600,4.18
2012-08-10,4.04,4.19,3.99,4.19,499500,4.19
2012-08-09,4.12,4.15,4.00,4.07,325800,4.07
2012-08-08,4.11,4.18,3.95,4.11,1030000,4.11
2012-08-07,3.98,4.20,3.97,4.15,799100,4.15
2012-08-06,3.92,4.15,3.92,4.00,1224600,4.00
2012-08-03,3.78,4.03,3.65,3.97,719900,3.97
2012-08-02,3.93,4.02,3.70,3.70,428400,3.70
2012-08-01,4.03,4.07,3.81,3.97,370500,3.97
2012-07-31,4.17,4.19,3.97,4.06,1105800,4.06
2012-07-30,4.18,4.26,4.05,4.16,1492500,4.16
2012-07-27,4.18,4.21,3.75,4.19,2139100,4.19
2012-07-26,3.69,4.37,3.62,4.15,1517700,4.15
2012-07-25,3.69,3.72,3.61,3.69,1449200,3.69
2012-07-24,3.80,3.85,3.71,3.77,1980000,3.77
2012-07-23,3.50,3.80,3.36,3.80,1403700,3.80
2012-07-20,3.80,3.83,3.54,3.56,1368600,3.56
2012-07-19,3.77,3.83,3.76,3.82,1061000,3.82
2012-07-18,3.72,3.86,3.70,3.77,1665800,3.77
2012-07-17,3.61,3.79,3.59,3.72,1090600,3.72
2012-07-16,3.57,3.64,3.55,3.62,1439700,3.62
2012-07-13,3.53,3.62,3.50,3.61,747200,3.61
2012-07-12,3.53,3.56,3.50,3.52,1717900,3.52
2012-07-11,3.63,3.69,3.55,3.55,1075800,3.55
2012-07-10,3.59,3.78,3.57,3.70,1176400,3.70
2012-07-09,3.60,3.68,3.53,3.60,863700,3.60
2012-07-06,3.75,3.75,3.61,3.63,970200,3.63
2012-07-05,3.92,3.96,3.70,3.75,1398800,3.75
2012-07-04,3.84,3.94,3.84,3.93,651600,3.93
2012-07-03,3.82,3.90,3.81,3.88,1072800,3.88
2012-07-02,3.82,3.91,3.79,3.84,1269900,3.84
2012-06-29,3.74,3.85,3.65,3.83,1494500,3.83
2012-06-28,3.58,3.65,3.54,3.63,890700,3.63
2012-06-27,3.55,3.59,3.46,3.59,1057500,3.59
2012-06-26,3.55,3.62,3.48,3.51,1609200,3.51
2012-06-25,3.77,3.78,3.56,3.57,1596300,3.57
2012-06-22,3.80,3.85,3.76,3.77,1216200,3.77
2012-06-21,3.98,3.98,3.81,3.82,2225500,3.82
2012-06-20,4.00,4.03,3.94,3.97,1393800,3.97
2012-06-19,3.94,4.02,3.85,3.98,2721600,3.98
2012-06-18,4.13,4.16,3.94,3.97,1554400,3.97
