Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,40.39,42.81,39.79,42.81,362000,42.81
2012-12-28,39.80,40.40,39.55,40.08,182200,40.08
2012-12-27,39.62,40.15,39.62,39.80,81800,39.80
2012-12-26,40.16,40.16,40.16,40.16,000,40.16
2012-12-25,40.16,40.16,40.16,40.16,000,40.16
2012-12-24,39.93,40.40,39.71,40.16,19900,40.16
2012-12-21,40.50,40.51,39.96,40.05,1311200,40.05
2012-12-20,40.61,41.00,40.24,40.51,230500,40.51
2012-12-19,40.22,40.73,40.22,40.61,112200,40.29
2012-12-18,41.10,41.37,40.02,40.14,150600,39.83
2012-12-17,41.50,41.50,40.00,40.69,144400,40.37
2012-12-14,39.35,40.84,39.27,40.71,608600,40.39
2012-12-13,40.10,41.43,39.15,39.25,895500,38.94
2012-12-12,39.64,39.64,38.78,39.41,117200,39.10
2012-12-11,39.00,39.28,38.40,39.28,314900,38.97
2012-12-10,38.79,38.91,38.49,38.76,340500,38.46
2012-12-07,38.08,38.84,38.08,38.52,77300,38.22
2012-12-06,37.98,38.65,37.61,38.44,75200,38.14
2012-12-05,38.15,38.15,37.52,38.00,47300,37.70
2012-12-04,38.09,38.19,37.50,37.80,64600,37.51
2012-12-03,37.62,38.38,37.60,37.60,90100,37.31
2012-11-30,38.10,38.28,37.58,37.60,186900,37.31
2012-11-29,38.12,38.40,37.61,37.84,73800,37.55
2012-11-28,39.44,39.44,37.84,38.03,131700,37.73
2012-11-27,40.10,40.10,39.00,39.16,157500,38.86
2012-11-26,39.82,40.08,39.66,39.86,42700,39.55
2012-11-23,38.84,39.96,38.84,39.74,63400,39.43
2012-11-22,38.89,39.36,38.89,39.35,37500,39.04
2012-11-21,39.15,39.15,38.60,38.84,192600,38.54
2012-11-20,39.06,39.07,38.58,38.85,117200,38.55
2012-11-19,38.90,39.11,38.49,38.93,39200,38.63
2012-11-16,39.00,39.40,38.60,38.74,133000,38.44
2012-11-15,39.35,39.35,38.32,39.05,166800,38.75
2012-11-14,40.00,40.00,38.98,38.98,88900,38.68
2012-11-13,39.14,39.60,38.69,39.58,141200,39.27
2012-11-12,38.80,39.19,38.44,39.14,93000,38.84
2012-11-09,38.70,39.39,38.70,39.33,146100,39.02
2012-11-08,38.99,39.10,38.54,39.10,194700,38.80
2012-11-07,38.37,38.60,38.00,38.41,109800,38.11
2012-11-06,38.30,38.48,38.01,38.30,98800,38.00
2012-11-05,39.00,39.00,38.00,38.30,56800,38.00
2012-11-02,37.95,39.40,37.82,39.06,156200,38.76
2012-11-01,37.40,37.89,37.12,37.87,54100,37.58
2012-10-31,37.40,37.58,36.92,37.34,62600,37.05
2012-10-30,37.10,37.65,36.97,37.39,60800,37.10
2012-10-29,37.25,37.80,36.80,37.80,100700,37.51
2012-10-26,37.20,37.80,36.69,37.55,102300,37.26
2012-10-25,36.01,37.54,35.74,37.30,171500,37.01
2012-10-24,35.20,35.88,35.10,35.35,98300,35.07
2012-10-23,36.40,37.90,34.96,35.12,184500,34.85
2012-10-22,35.33,35.98,34.60,34.91,149100,34.64
2012-10-19,35.60,35.60,35.08,35.25,88900,34.98
2012-10-18,35.30,35.40,34.70,35.17,145100,34.90
2012-10-17,35.70,36.06,35.32,35.45,64500,35.17
2012-10-16,36.47,36.71,35.64,35.70,236100,35.42
2012-10-15,37.54,37.60,36.47,36.52,129800,36.24
2012-10-12,36.74,37.17,36.74,36.96,95400,36.67
2012-10-11,36.25,36.58,36.02,36.32,119200,36.04
2012-10-10,35.64,36.30,35.21,36.23,174800,35.95
2012-10-09,36.02,36.90,35.98,35.98,145400,35.70
2012-10-08,37.07,38.30,36.44,36.44,120200,36.16
2012-10-05,37.50,39.46,36.70,36.90,180300,36.61
2012-10-04,36.46,38.00,36.37,37.24,102300,36.95
2012-10-03,36.49,36.60,35.46,36.29,70900,36.01
2012-10-02,36.01,36.88,35.75,35.87,218000,35.59
2012-10-01,35.11,36.94,35.11,36.46,262600,36.18
2012-09-28,35.00,35.94,35.00,35.62,90800,35.34
2012-09-27,35.27,35.85,35.21,35.33,85100,35.06
2012-09-26,35.72,35.87,35.01,35.20,316000,34.93
2012-09-25,35.50,36.25,35.50,35.84,66100,35.56
2012-09-24,37.30,37.30,35.82,35.89,94800,35.61
2012-09-21,35.58,37.70,35.57,36.72,109100,36.43
2012-09-20,35.16,36.65,34.89,36.24,135400,35.96
2012-09-19,35.10,36.00,34.33,34.89,167000,34.62
2012-09-18,33.35,34.59,33.35,34.04,143000,33.78
2012-09-17,34.32,34.92,33.13,33.79,139200,33.53
2012-09-14,34.27,34.50,34.00,34.32,215100,34.05
2012-09-13,34.00,34.06,33.00,33.80,183900,33.54
2012-09-12,34.93,34.93,33.90,34.09,117600,33.82
2012-09-11,33.11,34.89,33.09,34.89,154400,34.62
2012-09-10,32.00,33.60,32.00,33.37,144600,33.11
2012-09-07,33.35,33.80,32.23,32.35,189800,32.10
2012-09-06,34.56,34.96,33.26,33.43,212000,33.17
2012-09-05,35.00,35.21,34.60,34.70,84800,34.43
2012-09-04,35.41,35.41,34.55,34.86,100800,34.59
2012-09-03,35.42,35.88,34.62,34.95,74200,34.68
2012-08-31,34.41,35.34,34.41,35.21,65200,34.94
2012-08-30,34.11,34.86,34.03,34.56,47700,34.29
2012-08-29,34.03,34.41,34.03,34.30,48200,34.03
2012-08-28,34.30,34.56,34.05,34.36,65500,34.09
2012-08-27,35.10,35.10,34.18,34.43,11800,34.16
2012-08-24,34.27,34.72,34.10,34.57,43400,34.30
2012-08-23,34.85,34.97,34.07,34.07,101000,33.80
2012-08-22,35.00,35.00,34.06,34.55,102000,34.28
2012-08-21,35.40,35.40,34.62,35.00,157700,34.73
2012-08-20,35.53,35.65,34.69,35.03,84900,34.76
2012-08-17,35.67,36.24,35.42,35.45,59300,35.17
2012-08-16,36.05,36.05,35.46,35.70,84900,35.42
2012-08-15,35.53,36.08,35.31,36.08,147900,35.80
2012-08-14,36.00,36.00,35.27,35.48,107900,35.20
2012-08-13,37.08,37.26,35.63,35.96,225100,35.68
2012-08-10,37.23,37.90,37.00,37.45,39800,37.16
2012-08-09,37.07,37.74,36.70,37.10,74600,36.81
2012-08-08,37.08,37.92,36.47,37.11,92400,36.82
2012-08-07,37.97,37.97,36.95,37.36,65900,37.07
2012-08-06,37.14,38.00,37.10,37.38,77200,37.09
2012-08-03,36.81,37.64,36.80,37.34,64600,37.05
2012-08-02,37.81,38.00,36.82,36.82,95400,36.53
2012-08-01,36.61,37.98,36.61,37.80,90700,37.51
2012-07-31,35.67,37.82,35.67,37.29,163700,37.00
2012-07-30,35.68,35.81,35.21,35.74,117000,35.46
2012-07-27,35.96,35.96,34.58,35.40,153400,35.12
2012-07-26,35.00,35.36,34.11,34.93,106700,34.66
2012-07-25,34.71,34.71,33.40,34.11,197300,33.84
2012-07-24,34.01,35.46,34.01,34.67,359300,34.40
2012-07-23,35.13,35.30,33.87,34.01,240800,33.75
2012-07-20,35.80,36.24,35.29,35.50,186900,35.22
2012-07-19,35.95,36.00,35.49,35.98,136900,35.70
2012-07-18,35.93,36.31,35.42,35.90,149600,35.62
2012-07-17,34.89,36.13,34.78,35.62,140800,35.34
2012-07-16,34.97,35.05,34.35,34.73,94800,34.46
2012-07-13,34.40,35.24,34.20,34.61,113000,34.34
2012-07-12,35.36,36.02,34.39,34.48,198300,34.21
